id,name,author,date,entry_id,lang
1M-dKluEruv958OBF16EfYL_sLjfxG7yp,MarxEngels_1848-03-03_ME045_de.txt,MarxEngels,1848-03-03,ME045,de
1jz_XUv0XYnMc8xkjG85i3cQ4s6AFQvC2,MarxEngels_1848-03-24_ME048_de.txt,MarxEngels,1848-03-24,ME048,de
1NXNMOulLuOBMZN0UsLppirSZ8PTyVEOY,MarxEngels_1848-03-25_ME087_de.txt,MarxEngels,1848-03-25,ME087,de
1diqiFsix8RrJ-SDbtR5c0a5ZK9f-Ty-j,MarxEngels_1848-04-01_ME175_de.txt,MarxEngels,1848-04-01,ME175,de
19fWSvSfLMpOg5UOC0NmUsvCr5gYOF0wM,MarxEngels_1848-06-03_ME090_de.txt,MarxEngels,1848-06-03,ME090,de
1ZHxmY_dqUUh565Q9scntSzk01J19crci,MarxEngels_1848-06-05_ME032_de.txt,MarxEngels,1848-06-05,ME032,de
1RNRtKXaEUq-nCkWyXapwJWJNOBUKLc84,MarxEngels_1848-06-05_ME126_de.txt,MarxEngels,1848-06-05,ME126,de
1uN9FTQl3odmeInStA5BEU9jT7DRlNxEp,MarxEngels_1848-06-06_ME117_de.txt,MarxEngels,1848-06-06,ME117,de
1VLRix1RB1dZ-Dxg6Mdbon77hW5tSZuBC,MarxEngels_1848-06-07_ME125_de.txt,MarxEngels,1848-06-07,ME125,de
19V93KP87NFgZWhHSyPCyIJf7TpJFsnjl,MarxEngels_1848-06-09_ME153_de.txt,MarxEngels,1848-06-09,ME153,de
19QdmdPLElDlcaTTT0ttQ9qr1p8-DNjPd,MarxEngels_1848-06-11_ME046_de.txt,MarxEngels,1848-06-11,ME046,de
1UY2d8CV2AFdpCpfHjdKJE1Eme7_cdbCb,MarxEngels_1848-06-16_ME115_de.txt,MarxEngels,1848-06-16,ME115,de
11P9cyrfiikwvszbLglT364BgVpBShorN,MarxEngels_1848-06-17_ME038_de.txt,MarxEngels,1848-06-17,ME038,de
1vKIOtIhHeJdQeXQRkBLrj0VF6jasF2qn,MarxEngels_1848-06-18_ME189_de.txt,MarxEngels,1848-06-18,ME189,de
1BVLzaFGBGR9ADxuvDS4Eqarnslw5saT_,MarxEngels_1848-06-20_ME168_de.txt,MarxEngels,1848-06-20,ME168,de
1N2cPRb9pvtDiNxVZKjgpRosA4kp85U_u,MarxEngels_1848-06-21_ME051_de.txt,MarxEngels,1848-06-21,ME051,de
1RaAQc6ouNgT69jIf9TKj2VfEw14Ue8Ia,MarxEngels_1848-06-22_ME057_de.txt,MarxEngels,1848-06-22,ME057,de
1Y6URfNeG9uBoO35x_z2ylsm342kfqESM,MarxEngels_1848-06-23_ME073_de.txt,MarxEngels,1848-06-23,ME073,de
19mq_bPNzAEveIoJb0u2VVohXWrRgTokq,MarxEngels_1848-06-23_ME098_de.txt,MarxEngels,1848-06-23,ME098,de
1cP0DJ7sr0cnhC6E2zTYltGqCkXQz7J5D,MarxEngels_1848-06-24_ME102_de.txt,MarxEngels,1848-06-24,ME102,de
1-y1pySFZtbaE6Au7i88JGVFWsX_FVELE,MarxEngels_1848-06-24_ME113_de.txt,MarxEngels,1848-06-24,ME113,de
1C4maZBIyVGKoccpC5loVMEj-0tWzwhba,MarxEngels_1848-06-24_ME170_de.txt,MarxEngels,1848-06-24,ME170,de
1n8rg9dcWH34nKuNTaVtF04cssnSEd9rB,MarxEngels_1848-06-25_ME103_de.txt,MarxEngels,1848-06-25,ME103,de
1laYfaIzV4kviy9-6k_HW-r67AV3PJ1O-,MarxEngels_1848-06-26_ME104_de.txt,MarxEngels,1848-06-26,ME104,de
1zgsFS2g6dQ-Nxo5KEEW-pSo7fG5CB8Sa,MarxEngels_1848-07-02_ME093_de.txt,MarxEngels,1848-07-02,ME093,de
1QpInhyNHrWUwKn6kUyb494ZVvz98rHyA,MarxEngels_1848-07-03_ME013_de.txt,MarxEngels,1848-07-03,ME013,de
1sqbULjBLYEZAb4Yc-Ab7ZxnfOcbEvfIi,MarxEngels_1848-07-04_ME014_de.txt,MarxEngels,1848-07-04,ME014,de
1I3Fp85mTRS6_94Hym2chXJRzXyGwteQl,MarxEngels_1848-07-11_ME065_de.txt,MarxEngels,1848-07-11,ME065,de
1T8k-1YKGIJSZMdga0CUnubfk0GLxy1WK,MarxEngels_1848-07-13_ME075_de.txt,MarxEngels,1848-07-13,ME075,de
1SdY21wZfB_nygXAFvJxQ_U1_yyChcJWL,MarxEngels_1848-07-20_ME094_de.txt,MarxEngels,1848-07-20,ME094,de
1Nb8Pfzf7BZbl6quChnHkGV26qYlpijqe,MarxEngels_1848-07-23_ME188_de.txt,MarxEngels,1848-07-23,ME188,de
1DddzPzXB_ljI7CJyMzjfHjF78khS_y4O,MarxEngels_1848-07-25_ME022_de.txt,MarxEngels,1848-07-25,ME022,de
1HMSxVvHYp4hxzglnFlCVBnaxwFVH5njl,MarxEngels_1848-08-01_ME148_de.txt,MarxEngels,1848-08-01,ME148,de
1Q7fx9BVqCY42XJOdKkaRgFUVY_hhxWCf,MarxEngels_1848-08-03_ME074_de.txt,MarxEngels,1848-08-03,ME074,de
1LzRteYSnbMlHx8oBOkMw7T-BhEzxZyar,MarxEngels_1848-08-03_ME082_de.txt,MarxEngels,1848-08-03,ME082,de
1WIObxELxymMVm-TIO9aTXU2_WXQhDWlH,MarxEngels_1848-08-03_ME121_de.txt,MarxEngels,1848-08-03,ME121,de
1FthNRNCGL4hGmt62tort_SwO0P4cIER5,MarxEngels_1848-08-05_ME050_de.txt,MarxEngels,1848-08-05,ME050,de
1tnXxLG5vVGILxQG0P12yUz2wtZHENh1g,MarxEngels_1848-08-11_ME064_de.txt,MarxEngels,1848-08-11,ME064,de
1ZTmnbUdAHsWGInpivncJEqoE9P-Khkcl,MarxEngels_1848-09-16_ME061_de.txt,MarxEngels,1848-09-16,ME061,de
1XQflSpEzhosuYJ4Hl9DnGbh3yDyE66kf,MarxEngels_1848-09-22_ME070_de.txt,MarxEngels,1848-09-22,ME070,de
17OZoyW5J9zLrsY_MhdtyLLn4ScI96h6F,MarxEngels_1848-09-23_ME030_de.txt,MarxEngels,1848-09-23,ME030,de
1uh0PlKYnAW_fPdN_4IzrgHF6hta4v9PJ,MarxEngels_1848-09-26_ME159_de.txt,MarxEngels,1848-09-26,ME159,de
1tgnFIVQJlvtf5gjbBfp2MhrvOMw5S6Ty,MarxEngels_1848-10-08_ME084_de.txt,MarxEngels,1848-10-08,ME084,de
1V4o-DtubbjKsaSdFQFuXFyeG6bRiQabf,MarxEngels_1848-11-24_ME092_de.txt,MarxEngels,1848-11-24,ME092,de
1M_16qEC_zNMe8unSXETbfr1NDQI_mOki,MarxEngels_1848-11-27_ME130_de.txt,MarxEngels,1848-11-27,ME130,de
1ObS3x4TQ8f-wOYC0XL5EQsG0C8CkgDbM,MarxEngels_1848-11-28_ME101_de.txt,MarxEngels,1848-11-28,ME101,de
1IYSPXtKDQXm8EpP_GGHlU8MsTSYkyHsZ,MarxEngels_1848-11-29_ME067_de.txt,MarxEngels,1848-11-29,ME067,de
